ID,GAME,PLATFORM,YEAR,GENRE,PUBLISHER,NA_SALES,EU_SALES,JP_SALES,OTHERS_SALES,GLOBAL_SALES,CRITIC_SCORE,CRITIC_COUNT,USER_SCORE,USER_COUNT
3529,Women's Volleyball Championship,PS2,2007,Sports,Spike,0,0,0.03,0,0.03,32,7,4,4
3530,WordJong,DS,2007,Puzzle,White Park Bay Software,0.13,0.01,0,0.01,0.15,77,9,7.7,9
3531,World in Conflict,PC,2007,Strategy,Vivendi Games,0,0.03,0,0.01,0.04,89,44,8.1,301
3532,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0,0,4.09,91,46,7.9,785
3533,World Series of Poker 2008: Battle for the Bracelets,X360,2007,Misc,Activision,0.06,0.01,0,0.01,0.08,74,10,6.7,6
3534,Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,0,1.12,0,0,1.12,86,15,8,19
3535,Worms,X360,2007,Strategy,Microsoft Game Studios,0,0.02,0,0,0.02,75,25,6.9,28
3536,Worms: Open Warfare 2,PSP,2007,Strategy,THQ,0.04,0.26,0,0.14,0.44,80,26,8.1,25
3537,Worms: Open Warfare 2,DS,2007,Strategy,THQ,0.07,0.24,0,0.04,0.35,81,25,9.1,22
3538,WWE SmackDown vs Raw 2008,PS2,2007,Fighting,THQ,0.92,0,0.01,1.41,2.34,71,11,7.2,31
3539,WWE SmackDown vs Raw 2008,X360,2007,Fighting,THQ,0.92,0.38,0,0.13,1.43,71,41,6.8,48
3540,WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,0.62,0.49,0.01,0.2,1.33,74,27,7.3,41
3541,WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,0.45,0.47,0,0.28,1.19,68,11,7.8,15
3542,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.38,0.5,0,0.11,0.98,59,13,5.9,18
3543,WWE SmackDown vs Raw 2008,DS,2007,Fighting,THQ,0.11,0,0,0.01,0.12,61,12,6.6,13
3544,Zoids Assault,X360,2007,Strategy,Takara Tomy,0.08,0,0,0.01,0.09,46,17,7.3,7
3545,007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,65,69,7.1,71
3546,007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65,42,6.6,47
3547,007: Quantum of Solace,Wii,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,54,11,7.5,26
3548,007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0,0.03,70,18,6.3,55
3549,1 vs. 100,DS,2008,Misc,DSI Games,0.08,0,0,0.01,0.08,38,5,3.2,5
3550,100 Classic Books,DS,2008,Misc,Nintendo,0.12,0.52,0,0.02,0.66,70,7,6,12
3551,A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02,75,33,8.5,25
3552,AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,0.21,0.01,0,0.02,0.24,60,12,5.3,14
3553,AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0,0,0.02,0.23,63,16,4.9,10
3554,Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,69,6,8.1,14
3555,Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.07,50,23,6.2,12
3556,Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.08,46,6,7.3,6
3557,Age of Empires: Mythologies,DS,2008,Strategy,THQ,0.16,0.03,0,0.02,0.21,78,28,6.9,20
3558,Alone in the Dark,X360,2008,Adventure,Atari,0.14,0.3,0,0.05,0.48,58,53,5.7,162
3559,Alone in the Dark,Wii,2008,Adventure,Atari,0.09,0.08,0,0.02,0.18,39,10,4.4,34
3560,Alone in the Dark,PS2,2008,Adventure,Atari,0.03,0.02,0,0.01,0.06,47,10,5.4,24
3561,Alone in the Dark,PC,2008,Adventure,Atari,0,0.01,0,0,0.01,55,19,5.7,148
3562,Alone in the Dark: Inferno,PS3,2008,Adventure,Atari,0.09,0.03,0,0.02,0.13,69,25,5.6,50
3563,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73,50,7.6,119
3564,Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19,62,22,7.6,31
3565,Armored Core: For Answer,X360,2008,Simulation,Ubisoft,0.06,0.01,0.07,0.01,0.15,64,22,7.7,38
3566,Army of Two,X360,2008,Shooter,Electronic Arts,1.09,0.37,0.02,0.16,1.64,72,76,7.6,233
3567,Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,74,43,7.3,118
3568,Assassin's Creed: Altair's Chronicles,DS,2008,Platform,Ubisoft,0.03,0.01,0,0,0.05,58,30,6.3,30
3569,Avalon Code,DS,2008,Role-Playing,Rising Star Games,0.11,0,0.12,0.01,0.24,71,29,7.4,13
3570,Backyard Baseball '09,Wii,2008,Sports,Atari,0.04,0,0,0,0.04,37,4,7.8,5
3571,Baja: Edge of Control,PS3,2008,Racing,THQ,0.1,0.08,0,0.03,0.21,61,21,5,11
3572,Baja: Edge of Control,X360,2008,Racing,THQ,0.12,0.06,0,0.02,0.2,65,35,7.1,18
3573,Bangai-O Spirits,DS,2008,Shooter,D3Publisher,0.07,0,0,0.01,0.08,83,38,8.1,27
3574,Banjo-Kazooie,X360,2008,Platform,Microsoft Game Studios,0,0.01,0,0,0.01,77,17,8.2,70
3575,Baroque,Wii,2008,Role-Playing,Rising Star Games,0.07,0,0,0.01,0.07,50,22,8.1,24
3576,Battle Fantasia,X360,2008,Fighting,505 Games,0.07,0,0.01,0.01,0.09,71,22,6.6,8
3577,Battlefield: Bad Company,X360,2008,Shooter,Electronic Arts,0.81,0.46,0.04,0.15,1.46,83,70,7.7,263
3578,Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,84,50,8.1,203
3579,Bejeweled Twist,PC,2008,Puzzle,PopCap Games,0.01,0.04,0,0.01,0.05,78,12,7.3,11
3580,Ben 10: Alien Force,Wii,2008,Action,Koch Media,0.52,0.21,0,0.07,0.8,45,6,7.8,11
3581,Big Beach Sports,Wii,2008,Sports,THQ,0.45,1.02,0,0.2,1.66,44,17,8,41
3582,BioShock,PS3,2008,Shooter,Take-Two Interactive,0.75,0.46,0.01,0.2,1.42,94,51,8.7,881
3583,"Blast Works: Build, Trade, Destroy",Wii,2008,Shooter,Eidos Interactive,0.09,0,0,0.01,0.1,78,30,7.7,17
3584,Bleach: The 3rd Phantom,DS,2008,Role-Playing,Sega,0.1,0.02,0.07,0.01,0.2,59,28,8,10
3585,Blitz: The League II,PS3,2008,Sports,Midway Games,0.11,0.02,0,0.02,0.15,62,25,7.5,15
3586,Blitz: The League II,X360,2008,Sports,Midway Games,0.08,0.01,0,0.01,0.1,68,34,7.2,13
3587,Blue Dragon Plus,DS,2008,Role-Playing,Ignition Entertainment,0.12,0.03,0.05,0.01,0.21,69,46,6.5,15
3588,Bolt,Wii,2008,Adventure,Disney Interactive Studios,0.19,0.31,0,0.06,0.56,50,4,5.8,5
3589,Bolt,X360,2008,Adventure,Disney Interactive Studios,0.18,0.05,0,0.02,0.25,57,18,7.1,7
3590,Bolt,PS3,2008,Adventure,Disney Interactive Studios,0.12,0.04,0,0.02,0.19,59,11,6.8,6
3591,Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.71,0.38,0,0.12,1.21,85,61,8.6,105
3592,Brain Challenge,DS,2008,Misc,Ubisoft,0.41,0,0,0.03,0.45,68,7,7,4
3593,Brothers in Arms: Double Time,Wii,2008,Shooter,Ubisoft,0.11,0,0,0.01,0.13,45,13,6.6,17
3594,Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0,0.15,0.93,76,48,8,70
3595,Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0,0.09,0.87,76,65,8.3,149
3596,Brothers in Arms: Hell's Highway,PC,2008,Shooter,Ubisoft,0,0.02,0,0,0.02,79,22,7.9,130
3597,Bully: Scholarship Edition,X360,2008,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.06,80,56,8.3,154
3598,Bully: Scholarship Edition,Wii,2008,Action,Take-Two Interactive,0.17,0.28,0,0.06,0.5,83,34,8.4,60
3599,Bully: Scholarship Edition,PC,2008,Action,Take-Two Interactive,0,0.02,0,0,0.03,72,11,7.5,257
3600,Burnout Paradise,PS3,2008,Racing,Electronic Arts,1.01,0.62,0.02,0.29,1.94,87,55,7.7,455
3601,Burnout Paradise,X360,2008,Racing,Electronic Arts,0.63,0.57,0.01,0.14,1.35,88,68,6.9,279
3602,Cabela's Dangerous Hunts 2009,PS3,2008,Sports,Activision Value,0.12,0,0,0.01,0.13,39,6,1.8,10
3603,Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0,0.69,7.38,84,84,7.6,580
3604,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0,0.83,5.39,85,45,7.6,409
3605,Call of Duty: World at War,Wii,2008,Shooter,Activision,1.17,0.58,0,0.18,1.94,83,19,7.6,78
3606,Call of Duty: World at War,DS,2008,Shooter,Activision,0.56,0.25,0,0.08,0.89,75,12,7.8,20
3607,Call of Duty: World at War,PC,2008,Shooter,Activision,0.02,0.14,0,0.03,0.18,83,36,7.5,721
3608,Carnival Games,DS,2008,Misc,Take-Two Interactive,1.21,0.63,0,0.19,2.03,48,11,3.3,4
3609,Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,0.86,0.54,0,0.15,1.56,38,10,5.7,7
3610,Castlevania Judgment,Wii,2008,Fighting,Konami Digital Entertainment,0.12,0.02,0.01,0.01,0.16,49,33,5.9,56
3611,Castlevania: Order of Ecclesia,DS,2008,Platform,Konami Digital Entertainment,0.27,0.02,0.04,0.03,0.36,85,46,8.7,111
3612,Celebrity Sports Showdown,Wii,2008,Sports,Electronic Arts,0.18,0.22,0,0.05,0.45,50,12,4.6,18
3613,Chessmaster: The Art of Learning,PSP,2008,Misc,Ubisoft,0.11,0,0,0.01,0.12,64,4,8.4,18
3614,Chrono Trigger,DS,2008,Role-Playing,Square Enix,0.61,0.16,0.49,0.08,1.34,92,57,8.9,440
3615,Class of Heroes,PSP,2008,Role-Playing,Acquire,0.06,0,0.08,0.01,0.14,61,12,7.1,12
3616,Code Lyoko: Fall of X.A.N.A.,DS,2008,Adventure,Game Factory,0.07,0,0,0.01,0.08,51,11,6.3,4
3617,Condemned 2: Bloodshot,X360,2008,Action,Sega,0.38,0.19,0,0.06,0.63,80,76,8.4,178
3618,Condemned 2: Bloodshot,PS3,2008,Action,Sega,0.17,0.16,0,0.06,0.39,82,37,8.1,89
3619,Conflict: Denied Ops,X360,2008,Shooter,Eidos Interactive,0.08,0.09,0,0.02,0.19,52,35,4.9,22
3620,Conflict: Denied Ops,PS3,2008,Shooter,Eidos Interactive,0.05,0.1,0,0.03,0.19,51,28,3.1,25
3621,Conflict: Denied Ops,PC,2008,Shooter,Eidos Interactive,0,0.01,0,0,0.01,58,18,4.8,54
3622,Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87,62,17,4.9,12
3623,Crash: Mind Over Mutant,PS2,2008,Platform,Vivendi Games,0.25,0.19,0,0.06,0.5,73,7,6.5,36
3624,Crash: Mind Over Mutant,X360,2008,Platform,Vivendi Games,0.22,0.2,0,0.05,0.47,60,42,6.5,23
3625,Crash: Mind Over Mutant,Wii,2008,Platform,Vivendi Games,0.35,0.05,0,0.03,0.43,70,13,6.6,16
3626,Crash: Mind Over Mutant,DS,2008,Platform,Vivendi Games,0.38,0,0,0.03,0.42,45,12,5.8,8
3627,Crimson Gem Saga,PSP,2008,Role-Playing,Sega,0.06,0,0,0,0.06,78,20,7.5,30
3628,Cross Edge,PS3,2008,Role-Playing,Nippon Ichi Software,0.14,0.02,0.05,0.02,0.23,52,32,7.2,82
3629,CrossworDS,DS,2008,Puzzle,Deep Silver,0.5,0,0,0.04,0.55,67,19,6.8,6
3630,Crysis: Warhead,PC,2008,Shooter,Electronic Arts,0,0.02,0,0,0.02,84,56,7.9,516
3631,Dance Dance Revolution Universe 3,X360,2008,Simulation,Konami Digital Entertainment,0.28,0,0,0.02,0.3,65,6,7.7,7
3632,Dance Dance Revolution X,PS2,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,55,6,6.2,6
3633,Dance Dance Revolution: Hottest Party 2,Wii,2008,Simulation,Konami Digital Entertainment,0.94,0.48,0.01,0.15,1.58,69,8,6.8,6
3634,Dark Messiah of Might and Magic Elements,X360,2008,Role-Playing,Ubisoft,0.16,0.02,0.01,0.02,0.2,52,27,7,48
3635,Dark Sector,X360,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.05,0.48,72,71,7.5,147
3636,Dark Sector,PS3,2008,Shooter,D3Publisher,0.23,0.16,0.01,0.07,0.47,72,47,7.6,70
3637,de Blob,Wii,2008,Platform,THQ,0.49,0.37,0,0.1,0.96,82,48,8.6,73
3638,Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.66,0,0.29,2,88,67,8.8,545
3639,Dead Space,X360,2008,Action,Electronic Arts,0.89,0.39,0,0.13,1.4,89,79,8.7,768
3640,Dead Space,PC,2008,Action,Electronic Arts,0,0.53,0,0.06,0.59,86,28,8,1093
3641,Deadliest Catch: Alaskan Storm,X360,2008,Sports,Navarre Corp,0.04,0,0,0,0.05,56,14,5.9,15
3642,Death Jr.: Root of Evil,Wii,2008,Platform,Eidos Interactive,0.1,0,0,0.01,0.11,71,14,8.1,14
3643,Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,1.11,0.85,0.29,0.25,2.5,50,23,5.4,16
3644,Devil May Cry 4,PS3,2008,Action,Capcom,0.58,0.45,0.34,0.2,1.57,84,63,8.2,311
3645,Devil May Cry 4,X360,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.34,84,61,8,248
3646,Devil May Cry 4,PC,2008,Action,Capcom,0.01,0.02,0,0.01,0.04,78,21,8.5,353
3647,Digimon World Championship,DS,2008,Role-Playing,Namco Bandai Games,0,0,0.07,0,0.07,49,6,6.5,13
3648,Disgaea 3: Absence of Justice,PS3,2008,Role-Playing,Square Enix,0.33,0.03,0.11,0.04,0.52,78,51,7.5,150
3649,Disgaea DS,DS,2008,Role-Playing,Square Enix,0.11,0.01,0.05,0.01,0.18,82,32,7.5,35
3650,Disney Sing It,X360,2008,Misc,Disney Interactive Studios,0.39,0.01,0,0.03,0.43,53,10,5.2,6
3651,Disney Sing It,PS3,2008,Misc,Disney Interactive Studios,0.28,0.06,0,0.04,0.37,54,11,3.5,6
3652,Dissidia: Final Fantasy,PSP,2008,Fighting,Square Enix,0.51,0.5,0.91,0.31,2.23,79,61,8,139
3653,Dokapon Journey,DS,2008,Role-Playing,Sting,0.05,0,0,0,0.05,60,16,7,8
3654,Dokapon Kingdom,Wii,2008,Role-Playing,Sting,0.12,0,0,0.01,0.13,73,11,8.3,17
3655,Don King Presents: Prizefighter,X360,2008,Sports,Take-Two Interactive,0.14,0.08,0,0.02,0.25,56,45,6.4,29
3656,Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,0.49,0.02,0,0.04,0.55,47,4,7,5
3657,Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,0.22,0.33,0.18,0.12,0.85,71,32,7.2,51
3658,Dragon Ball Z: Burst Limit,X360,2008,Fighting,Atari,0.24,0.18,0.03,0.05,0.49,72,50,7.6,41
3659,Dragon Ball Z: Infinite World,PS2,2008,Fighting,Namco Bandai Games,0.08,0.06,0.21,0.02,0.36,48,17,7.9,37
3660,Dragon Ball: Origins,DS,2008,Action,Atari,0.08,0.02,0,0.01,0.12,78,18,7.5,15
3661,Dragon Quest V: Hand of the Heavenly Bride,DS,2008,Role-Playing,Square Enix,0.17,0.02,1.36,0.02,1.57,84,46,8.5,57
3662,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,0.99,0.35,0,0.13,1.48,68,12,5.5,4
3663,Dream Pinball 3D,Wii,2008,Misc,SouthPeak Games,0.1,0.02,0,0.01,0.14,54,8,7.6,7
3664,Dynasty Warriors 6,PS2,2008,Action,Tecmo Koei,0.12,0.09,0,0.03,0.25,43,7,5.4,14
3665,Dynasty Warriors: Gundam 2,PS3,2008,Action,Namco Bandai Games,0.09,0.06,0.32,0.03,0.49,54,22,7,28
3666,Dynasty Warriors: Gundam 2,PS2,2008,Action,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34,52,8,6.5,8
3667,Dynasty Warriors: Gundam 2,X360,2008,Action,Namco Bandai Games,0.07,0.03,0.08,0.01,0.19,49,30,7,18
3668,echochrome,PSP,2008,Puzzle,Sony Computer Entertainment,0,0.01,0.08,0,0.09,79,28,7.7,13
3669,Elebits: The Adventures of Kai and Zero,DS,2008,Adventure,Konami Digital Entertainment,0.07,0,0,0.01,0.08,75,15,8.3,4
3670,Emergency Heroes,Wii,2008,Racing,Ubisoft,0.14,0.27,0,0.05,0.47,41,12,4.2,15
3671,Emergency Mayhem,Wii,2008,Racing,Codemasters,0.02,0,0,0,0.02,40,21,4.3,4
3672,Enemy Territory: Quake Wars,X360,2008,Shooter,Activision,0.3,0.11,0,0.04,0.45,69,54,7.3,26
3673,Enemy Territory: Quake Wars,PS3,2008,Shooter,Activision,0.23,0.07,0,0.04,0.35,60,30,6.4,14
3674,Eternal Poison,PS2,2008,Role-Playing,Banpresto,0.07,0.05,0,0.02,0.14,65,11,8.2,9
3675,Eternal Sonata,PS3,2008,Role-Playing,Atari,0.19,0.12,0.07,0.05,0.44,80,34,7.8,117
3676,Etrian Odyssey II: Heroes of Lagaard,DS,2008,Role-Playing,Atlus,0.09,0,0.16,0.01,0.26,82,17,8.9,24
3677,Exit DS,DS,2008,Puzzle,Square Enix,0.09,0,0.01,0.01,0.1,64,25,6.7,6
3678,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89,95,6.5,2423
3679,FaceBreaker,X360,2008,Fighting,Electronic Arts,0.15,0.02,0,0.02,0.19,54,57,6.3,19
3680,FaceBreaker,PS3,2008,Fighting,Electronic Arts,0.13,0.02,0,0.02,0.17,53,37,3.8,20
3681,FaceBreaker K.O. Party,Wii,2008,Fighting,Electronic Arts,0.19,0.01,0,0.02,0.22,61,15,5.6,7
3682,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93,84,8.5,1655
3683,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,2.15,1.13,0.07,0.59,3.94,90,57,8,910
3684,Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0,0.08,0.98,91,48,7.9,3450
3685,Family Party: 30 Great Games,Wii,2008,Misc,D3Publisher,0.08,0.01,0,0.01,0.09,42,10,1,7
3686,Far Cry 2,X360,2008,Action,Ubisoft,0.71,0.69,0.02,0.18,1.59,85,75,6.7,288
3687,Far Cry 2,PS3,2008,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38,85,49,6.4,241
3688,Far Cry 2,PC,2008,Action,Ubisoft,0.01,0.45,0,0.03,0.48,85,34,5.8,1345
3689,Ferrari Challenge Trofeo Pirelli,PS3,2008,Racing,System 3 Arcade Software,0,0.03,0,0.01,0.04,71,37,6.2,26
3690,FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.58,87,42,7.5,108
3691,FIFA Soccer 09,PS2,2008,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28,82,8,6.9,20
3692,FIFA Soccer 09,X360,2008,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94,87,51,8,106
3693,FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,84,8,8.9,21
3694,FIFA Soccer 09,DS,2008,Sports,Electronic Arts,0.12,0.31,0,0.06,0.49,84,5,6.1,31
3695,FIFA Soccer 09,PC,2008,Sports,Electronic Arts,0,0.02,0,0,0.02,77,15,6.8,36
3696,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.28,0.51,0,0.09,0.89,80,18,8.4,22
3697,FIFA Street 3,PS3,2008,Sports,Electronic Arts,0.08,0.18,0,0.06,0.32,63,37,6.9,19
3698,FIFA Street 3,X360,2008,Sports,Electronic Arts,0.14,0.14,0,0.03,0.32,63,48,6.9,18
3699,Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,Nintendo,0.29,0.02,0.27,0.03,0.61,81,42,7,106
3700,FlatOut: Head On,PSP,2008,Racing,Empire Interactive,0.13,0.1,0,0.06,0.29,74,28,8.2,21
3701,FlatOut: Ultimate Carnage,PC,2008,Racing,Empire Interactive,0,0.01,0,0,0.01,79,16,7.7,127
3702,"Flower, Sun, and Rain",DS,2008,Adventure,Rising Star Games,0.06,0,0,0,0.07,54,37,7.1,15
3703,Ford Racing Off Road,Wii,2008,Racing,Xplosiv,0.06,0.39,0,0.01,0.47,37,5,6.3,4
3704,Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.83,0,0,0.06,0.89,70,17,7.9,15
3705,Fracture,X360,2008,Shooter,LucasArts,0.15,0.14,0,0.04,0.33,63,60,6.2,45
3706,Fracture,PS3,2008,Shooter,LucasArts,0.11,0.04,0,0.02,0.16,62,40,5.8,18
3707,From The Abyss,DS,2008,Role-Playing,Nobilis,0.06,0,0,0,0.06,59,9,8,5
3708,Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56,75,55,7.8,77
3709,Frontlines: Fuel of War,PC,2008,Shooter,THQ,0,0.02,0,0,0.02,73,19,6.9,171
3710,Game Party 2,Wii,2008,Misc,Midway Games,1.28,0.43,0,0.17,1.88,29,7,4.6,7
3711,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739
3712,George of the Jungle and the Search for the Secret,Wii,2008,Platform,Ignition Entertainment,0.02,0,0,0,0.02,35,10,4,6
3713,Glory of Heracles,DS,2008,Role-Playing,Nintendo,0.19,0,0.08,0.01,0.29,69,23,7.3,18
3714,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.48,1,0.04,0.66,3.18,91,79,8.6,565
3715,Golden Axe: Beast Rider,X360,2008,Action,Sega,0.19,0.11,0,0.03,0.33,45,33,5.8,33
3716,Golden Axe: Beast Rider,PS3,2008,Action,Sega,0.13,0.14,0,0.06,0.32,44,30,5.6,23
3717,Goosebumps HorrorLand,Wii,2008,Adventure,Scholastic Inc.,0.15,0,0,0.01,0.16,37,4,3.5,8
3718,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98,86,7.9,2951
3719,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833
3720,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0,0.07,0.88,90,40,6.6,2299
3721,GRID,PS3,2008,Racing,Codemasters,0.31,0.56,0.03,0.2,1.1,87,39,8.1,109
3722,GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.87,87,62,7.9,131
3723,GTR Evolution,PC,2008,Racing,Atari,0,0.02,0,0,0.03,83,19,8.2,63
3724,Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0,0.11,1.03,67,12,7,8
3725,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.03,0.14,0,0.1,1.27,73,16,7.2,19
3726,Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1,0.13,0,0.1,1.23,70,59,6.7,48
3727,Guitar Hero: Aerosmith,PS3,2008,Misc,Activision,0.73,0.15,0,0.11,0.99,70,39,5,26
3728,Guitar Hero: Aerosmith,PS2,2008,Misc,Activision,0.61,0,0,0.18,0.79,71,11,6.3,15
3729,Guitar Hero: On Tour,DS,2008,Misc,Activision,2.1,1.01,0.01,0.35,3.46,71,70,8.8,29
3730,Guitar Hero: On Tour Decades,DS,2008,Misc,Activision,0.84,0.57,0,0.16,1.57,72,40,8,5
3731,Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.32,0.96,0,0.34,3.62,86,18,7.6,71
3732,Guitar Hero: World Tour,X360,2008,Misc,Activision,1.78,0.63,0,0.25,2.66,85,67,6.3,171
3733,Guitar Hero: World Tour,PS3,2008,Misc,Activision,1.1,0.55,0,0.27,1.92,84,43,7.5,80
3734,Hail to the Chimp,X360,2008,Misc,Gamecock,0.05,0,0,0,0.06,52,23,6.1,7
3735,Hail to the Chimp,PS3,2008,Misc,Gamecock,0.05,0,0,0,0.05,51,19,4.5,4
3736,Hammerin' Hero,PSP,2008,Action,Irem Software Engineering,0.06,0,0,0.01,0.07,73,19,7.3,8
3737,Harvest Moon: Animal Parade,Wii,2008,Simulation,Rising Star Games,0.58,0.08,0.02,0.05,0.73,76,10,8.9,20
3738,Harvest Moon: Magical Melody,Wii,2008,Simulation,Rising Star Games,0.23,0.03,0,0.02,0.29,69,14,8.8,17
3739,Harvey Birdman: Attorney at Law,PSP,2008,Adventure,Capcom,0.09,0,0,0.01,0.1,62,19,8,8
3740,Harvey Birdman: Attorney at Law,Wii,2008,Adventure,Capcom,0.08,0,0,0.01,0.08,60,28,7.8,5
3741,Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,0.96,0.33,0,0.13,1.43,63,12,7.5,11
3742,Haze,PS3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,0.99,55,65,6.5,294
3743,Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,0.13,0.02,0,0.02,0.17,47,23,6.1,10
3744,Hellboy: The Science of Evil,X360,2008,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11,44,31,5.7,9
3745,Hellboy: The Science of Evil,PSP,2008,Action,Konami Digital Entertainment,0.04,0,0,0,0.04,42,14,7.1,13
3746,Help Wanted: 50 Wacky Jobs,Wii,2008,Simulation,Hudson Soft,0.06,0.03,0,0.01,0.1,65,12,7,5
3747,Homie Rollerz,DS,2008,Racing,Destineer,0.07,0,0,0.01,0.07,23,9,2.4,12
3748,Hotel Giant 2,PC,2008,Strategy,JoWood Productions,0,0.03,0,0,0.03,58,7,2.5,19
3749,Imperium Romanum,PC,2008,Strategy,Kalypso Media,0,0.01,0,0,0.02,63,19,7.5,24
3750,Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7,68,60,7,158
3751,Insecticide,DS,2008,Action,Gamecock,0.06,0,0,0,0.06,55,23,7,5
3752,Iron Man,PS3,2008,Action,Sega,0.32,0.25,0,0.11,0.68,42,27,6.2,45
3753,Iron Man,PSP,2008,Action,Sega,0.46,0.09,0,0.09,0.63,44,7,6.5,16
3754,Iron Man,Wii,2008,Action,Sega,0.3,0.22,0,0.06,0.59,44,14,7,8
3755,Iron Man,X360,2008,Action,Sega,0.27,0.24,0,0.06,0.57,45,43,5.9,52
3756,Iron Man,PS2,2008,Action,Sega,0.36,0,0,0.19,0.54,47,8,5.6,15
3757,Iron Man,DS,2008,Action,Sega,0.35,0.12,0,0.05,0.51,56,10,7,4
3758,Jack Keane,PC,2008,Adventure,Kalypso Media,0,0.02,0,0,0.03,69,25,7,21
