ID,GAME,PLATFORM,YEAR,GENRE,PUBLISHER,NA_SALES,EU_SALES,JP_SALES,OTHERS_SALES,GLOBAL_SALES,CRITIC_SCORE,CRITIC_COUNT,USER_SCORE,USER_COUNT
404,Test Drive Off-Road Wide Open,XB,2001,Racing,Infogrames,0.15,0.03,0,0.01,0.18,64,21,8.3,9
405,The Legend of Alon D'ar,PS2,2001,Role-Playing,Ubisoft,0.04,0.03,0,0.01,0.08,43,14,6.7,10
406,The Mummy Returns,PS2,2001,Action,Universal Interactive,0.25,0.19,0,0.06,0.5,44,13,7,11
407,The Powerpuff Girls: Chemical X-Traction,PS,2001,Action,BAM! Entertainment,0.14,0.1,0,0.02,0.25,30,6,6.3,4
408,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61,64,23,7.7,32
409,The Simpsons: Road Rage,XB,2001,Racing,Electronic Arts,0.78,0.26,0,0.01,1.05,61,17,8.3,6
410,The Simpsons: Road Rage,GC,2001,Racing,Electronic Arts,0.19,0.05,0,0.01,0.24,67,16,7.7,12
411,The Sims: Hot Date,PC,2001,Simulation,Electronic Arts,1.81,0,0,0,1.82,85,17,7.9,70
412,The Sims: House Party,PC,2001,Simulation,Electronic Arts,1.23,0.83,0,0.1,2.16,74,17,7.9,30
413,The Weakest Link,PS,2001,Misc,Activision,0.05,0.03,0,0.01,0.09,63,7,7.2,6
414,Thunderstrike: Operation Phoenix,PS2,2001,Simulation,Eidos Interactive,0.17,0.13,0,0.04,0.34,65,15,8.1,7
415,Time Crisis II,PS2,2001,Shooter,Namco Bandai Games,0.26,0.2,0,0.07,0.53,81,21,7.9,20
416,Time Crisis: Project Titan,PS,2001,Shooter,Namco Bandai Games,0.03,0.02,0,0,0.05,71,13,6.7,6
417,Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision,0.85,0.31,0,0.02,1.18,95,16,7.5,22
418,Tony Hawk's Pro Skater 2x,XB,2001,Sports,Activision,0.41,0.19,0,0.03,0.63,78,24,8.8,5
419,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97,34,7.5,298
420,Tony Hawk's Pro Skater 3,PS,2001,Sports,Activision,1.09,0.49,0.02,0.07,1.67,87,10,8.3,36
421,Tony Hawk's Pro Skater 3,GC,2001,Sports,Activision,0.64,0.17,0,0.02,0.82,91,27,9,27
422,Top Gun: Combat Zones,PS2,2001,Simulation,Titus,0.45,0.35,0,0.12,0.92,63,17,3.3,9
423,Toy Story Racer,PS,2001,Racing,Activision,0.08,0.06,0,0.01,0.15,76,8,8.7,9
424,Twisted Metal: Black,PS2,2001,Racing,Sony Computer Entertainment,1.19,0.17,0,0.05,1.41,91,15,8.4,98
425,Universal Studios Theme Parks Adventure,GC,2001,Misc,Kemco,0.08,0.02,0,0,0.1,39,11,2.9,11
426,Vampire Night,PS2,2001,Shooter,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,65,18,8,5
427,Wario Land 4,GBA,2001,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26,88,17,8.9,42
